date,ticker,name,group,rs_ratio,rs_momentum,close
2025-12-11,KRE,Regional Banks,sector,100.7684,108.3445,66.5943
2025-12-12,KRE,Regional Banks,sector,102.3054,108.3956,66.2781
2025-12-15,KRE,Regional Banks,sector,101.3976,107.5508,66.4559
2025-12-16,KRE,Regional Banks,sector,99.1106,105.2683,66.199
2025-12-17,KRE,Regional Banks,sector,102.4304,112.6885,66.4856
2025-12-18,KRE,Regional Banks,sector,103.7097,112.1223,66.6733
2025-12-19,KRE,Regional Banks,sector,101.9823,113.182,66.4362
2025-12-22,KRE,Regional Banks,sector,101.7308,111.4435,66.7623
2025-12-23,KRE,Regional Banks,sector,100.1429,107.9418,66.285
2025-12-24,KRE,Regional Banks,sector,99.9844,109.8892,66.3447
2025-12-26,KRE,Regional Banks,sector,100.9349,108.1231,66.1359
2025-12-29,KRE,Regional Banks,sector,101.2208,110.2334,65.5593
2025-12-30,KRE,Regional Banks,sector,101.4477,111.496,65.0621
2025-12-31,KRE,Regional Banks,sector,101.5796,109.4857,64.4358
2026-01-02,KRE,Regional Banks,sector,101.0515,110.4148,64.8633
2026-01-05,KRE,Regional Banks,sector,101.7549,108.4808,66.1757
2026-01-06,KRE,Regional Banks,sector,102.5286,108.8637,66.8418
2026-01-07,KRE,Regional Banks,sector,103.3684,108.8401,66.3646
2026-01-08,KRE,Regional Banks,sector,105.6176,110.299,67.6869
2026-01-09,KRE,Regional Banks,sector,105.8281,110.2233,67.0904
2026-01-12,KRE,Regional Banks,sector,103.7365,104.8083,66.295
2026-01-13,KRE,Regional Banks,sector,100.0421,99.2793,65.8575
2026-01-14,KRE,Regional Banks,sector,104.4666,102.1125,66.5933
2026-01-15,KRE,Regional Banks,sector,112.3826,110.8336,67.846
2026-01-16,KRE,Regional Banks,sector,110.6981,111.6915,67.4582
2026-01-20,KRE,Regional Banks,sector,109.9401,107.3315,66.5734
2026-01-21,KRE,Regional Banks,sector,113.5794,109.5167,69.6753
2026-01-22,KRE,Regional Banks,sector,112.5138,110.3268,69.5262
2026-01-23,KRE,Regional Banks,sector,109.859,107.9899,67.2196
2026-01-26,KRE,Regional Banks,sector,108.8379,108.6826,67.5378
2026-01-27,KRE,Regional Banks,sector,110.3079,110.3251,67.8659
2026-01-28,KRE,Regional Banks,sector,110.2849,109.2634,67.3886
2026-01-29,KRE,Regional Banks,sector,114.6858,113.3026,68.6314
2026-01-30,KRE,Regional Banks,sector,113.3065,111.6896,68.4127
2026-02-02,KRE,Regional Banks,sector,114.8691,113.0829,69.6356
2026-02-03,KRE,Regional Banks,sector,117.7799,116.5543,70.8287
2026-02-04,KRE,Regional Banks,sector,119.4078,117.3484,71.9322
2026-02-05,KRE,Regional Banks,sector,119.7715,116.8176,71.8825
2026-02-06,KRE,Regional Banks,sector,119.1819,115.2982,73.2048
2026-02-09,KRE,Regional Banks,sector,116.7388,110.5297,72.9961
2026-02-10,KRE,Regional Banks,sector,116.9973,110.5541,72.2206
2026-02-11,KRE,Regional Banks,sector,115.7256,111.5572,71.3954
2026-02-12,KRE,Regional Banks,sector,115.6385,115.5899,70.2918
2026-02-13,KRE,Regional Banks,sector,115.9664,111.0081,70.8684
2026-02-17,KRE,Regional Banks,sector,115.9188,103.1466,71.117
2026-02-18,KRE,Regional Banks,sector,118.4772,107.0273,70.9678
2026-02-19,KRE,Regional Banks,sector,116.0999,105.6029,70.5801
2026-02-20,KRE,Regional Banks,sector,115.96,102.096,71.4848
2026-02-23,KRE,Regional Banks,sector,110.6702,98.3615,68.3431
2026-02-24,KRE,Regional Banks,sector,107.2186,97.5966,68.2735
2026-02-25,KRE,Regional Banks,sector,109.6826,100.7761,69.4666
2026-02-26,KRE,Regional Banks,sector,109.0658,98.874,69.9836
