rank,ticker,name,sector,cap_band,close,ret_period,bench_ret,rs_vs_bench,rs_5d,rs_21d,rs_trend,max_dd_period,bench_dd,dd_vs_bench,current_dd,peer_rs_score,vol_label,rel_vol,acc_watch,pass_trend,score,period_label,period_start,trading_days
971,FRT,Federal Realty Investment Trust,Real Estate,mid,111.04,7.44,12.97,-5.53,-1.88,,STRONG_UP,-2.13,-0.85,-1.28,-1.32,37.65,LOW,0.5434,-,1,9.467,period_1,2026-03-30,19
972,CSTL,CASTLE BIOSCIENCES INC,Health Care,small,24.46,3.86,12.97,-9.11,-3.52,,STRONG_UP,-8.18,-0.85,-7.33,-2.9,36.19,LOW,0.89,-,0,9.412,period_1,2026-03-30,19
973,UBSI,UNITED BANKSHARES INC,Financials,mid,43.49,6.88,12.97,-6.09,-3.01,,STRONG_UP,-2.96,-0.85,-2.11,-2.36,37.37,LOW,0.968,-,1,9.408,period_1,2026-03-30,19
974,IVR,INVESCO MORTGAGE CAPITAL REIT INC,Financials,small,8.36,6.91,12.97,-6.06,-0.13,,STRONG_UP,-2.14,-0.85,-1.29,-0.71,38.08,HIGH,1.7788,-,1,9.387,period_1,2026-03-30,19
975,NJR,NEW JERSEY RESOURCES CORP,Utilities,mid,55.82,0.69,12.97,-12.28,-0.32,,STRONG_UP,-4.26,-0.85,-3.41,-3.02,44.23,LOW,,-,1,9.38,period_1,2026-03-30,19
976,INCY,Incyte,Health Care,large,94.65,4.78,12.97,-8.19,-3.08,,STRONG_UP,-3.24,-0.85,-2.39,-3.24,39.69,LOW,0.6818,-,1,9.348,period_1,2026-03-30,19
977,SVRA,SAVARA INC,Health Care,small,5.12,1.39,12.97,-11.58,-9.47,,STRONG_UP,-18.62,-0.85,-17.77,-15.65,28.79,LOW,0.5827,-,1,9.336,period_1,2026-03-30,19
978,TRGP,Targa Resources,Energy,large,240.69,-2.98,12.97,-15.95,3.23,,STRONG_UP,-7.76,-0.85,-6.91,-4.1,45.45,LOW,0.3819,-,1,9.328,period_1,2026-03-30,19
979,GHC,GRAHAM HOLDINGS COMPANY CLASS B,Consumer Discretionary,mid,1127.8199,7.61,12.97,-5.36,-2.77,,STRONG_UP,-2.27,-0.85,-1.42,-2.27,36.81,LOW,,-,1,9.325,period_1,2026-03-30,19
980,CXW,CORECIVIC REIT INC,Industrials,mid,20.51,7.55,12.97,-5.42,-1.27,,STRONG_UP,-2.88,-0.85,-2.03,-0.53,36.25,LOW,0.6629,-,1,9.316,period_1,2026-03-30,19
