rank,delta_rank,ticker,name,sector,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
85,0,CYL.AX,Catalyst Metals Limited,Gold,mid,6.12,22.88,-0.0185,-0.0713,-0.0672,FLAT,-24.07%,8.90%,813.43%,-41.60%,48.40%,79.47%,1.1072,MED,EARLY,6.347,7.4728,7.0342,0,5.4185,WEAK,14.0409
86,0,BC8.AX,Black Cat Syndicate Limited,Gold,mid,1.025,26.8,0.0592,-0.161,-0.1163,FLAT,-27.05%,17.82%,301.96%,-41.51%,49.60%,69.53%,0.9165,LOW,EARLY,1.1035,1.3041,1.128,0,12.7093,WEAK,14.0383
87,0,RC1.AX,Redcastle Resources Limited,Gold,small,0.175,71.9,0.213,0.2538,0.6294,STRONG_DOWN,75.00%,118.75%,34.62%,-47.73%,24.40%,135.85%,0.449,LOW,-,0.15,0.1667,0.1119,1,21.3287,CONTENDER,13.9219
88,0,POL.AX,Polymetals Resources Ltd,Gold,small,0.71,16.34,-0.0169,-0.1139,-0.3483,STRONG_UP,-42.04%,-2.74%,167.92%,-58.18%,45.20%,86.49%,1.7789,HIGH,-,0.7812,1.0086,1.0135,0,-1.4318,WEAK,13.8792
89,0,GMN.AX,Gold Mountain Limited,Gold,small,0.105,20.92,0.1296,0.035,0.829,FLAT,26.51%,5.00%,-47.50%,-70.00%,30.00%,133.19%,0.0042,LOW,-,0.1061,0.1068,0.0826,1,1.1262,LAGGARD,13.4673
90,0,AAJ.AX,Aruma Resources Limited,Gold,small,0.0115,26.14,-0.0801,-0.0207,-0.18,FLAT,-4.17%,15.00%,-42.50%,-68.97%,28.40%,143.45%,0.5062,LOW,-,0.0118,0.0158,0.0135,0,2.9697,WEAK,13.2793
91,0,GWR.AX,GWR Group Limited,Gold,small,0.15,59.48,0.0741,0.0691,0.412,FLAT,50.00%,78.57%,42.86%,-24.14%,34.80%,72.35%,0.0,LOW,-,0.1443,0.1528,0.1191,1,37.7925,CONTENDER,13.2645
92,0,TGM.AX,Theta Gold Mines Limited,Gold,small,0.21,45.1,-0.0141,0.0632,0.1577,STRONG_DOWN,-19.23%,50.00%,31.25%,-42.59%,34.80%,63.07%,0.0924,LOW,-,0.2156,0.2234,0.1961,1,27.5884,LAGGARD,13.0371
93,0,NPM.AX,New Peak Metals Limited,Gold,small,0.017,43.14,0.0255,0.01,-0.2187,STRONG_UP,6.25%,41.67%,54.55%,-50.00%,31.20%,99.10%,0.1075,LOW,-,0.0175,0.0213,0.0213,0,13.1181,WEAK,13.0186
94,0,MEK.AX,Meeka Metals Limited,Gold,small,0.17,33.33,-0.0082,-0.103,-0.3125,STRONG_UP,-20.93%,25.93%,359.46%,-50.82%,40.80%,82.14%,0.7329,LOW,-,0.177,0.2116,0.2033,0,12.8777,WEAK,12.9761
95,0,PVW.AX,PVW Resources Limited,Gold,small,0.014,16.99,-0.1635,-0.1754,-0.1209,FLAT,-61.11%,0.00%,-44.00%,-71.43%,23.20%,129.73%,0.0,LOW,-,0.0164,0.0198,0.0212,0,0.0,WEAK,12.922
96,0,PEC.AX,Perpetual Resources Limited,Gold,small,0.011,16.99,0.1852,0.16,0.2077,FLAT,-8.33%,0.00%,-26.67%,-70.37%,28.40%,99.11%,0.0323,LOW,-,0.0104,0.0112,0.0132,0,0.0,WEAK,12.778
97,0,OLY.AX,Olympio Metals Limited,Gold,small,0.062,23.53,0.0507,0.0854,0.4268,STRONG_DOWN,-29.55%,10.71%,8.77%,-72.12%,26.00%,151.91%,0.4914,LOW,-,0.0614,0.0643,0.0822,0,1.8338,WEAK,12.6578
