rank,delta_rank,ticker,name,sector,cap_band,close,peer_rs_score,rs_5,rs_21,rs_63,rs_trend,ret_6m,ret_12m,ret_24m,max_dd,persist_frac,vol_63,rel_vol,vol_label,acc_watch,sma20,sma50,sma200,pass_trend,mqs,regime_label,score_final
56,1,AUC.AX,Ausgold Limited,Gold,small,0.98,65.13,0.0303,-0.0082,0.0043,FLAT,2.08,75.0,206.25,-42.31,50.0,79.06,0.4987,LOW,-,0.9082,1.0196,0.9097,1,47.4323,CONTENDER,18.496
57,1,PNR.AX,Pantoro Gold Limited,Gold,mid,3.73,37.5,-0.0096,-0.0293,-0.1845,STRONG_UP,-40.13,23.51,152.2,-52.82,52.0,86.78,0.6602,LOW,PROGRESS,3.523,4.291,4.7296,0,14.0875,WEAK,18.4748
58,1,FXG.AX,Felix Gold Limited,Gold,small,0.275,52.63,-0.0301,0.0744,-0.1754,FLAT,-64.74,52.78,223.53,-71.15,42.4,102.14,0.2491,LOW,-,0.2687,0.3017,0.3468,0,21.9089,LAGGARD,18.2695
59,2,GPR.AX,Geopacific Resources Limited,Gold,small,0.048,74.34,0.0313,-0.0086,-0.1122,STRONG_UP,14.29,108.7,71.43,-37.7,36.8,91.73,0.6527,LOW,-,0.0471,0.0509,0.0404,1,43.6062,CONTENDER,18.0457
60,0,NST.AX,Northern Star Resources Limited,Gold,large,23.76,25.0,-0.0223,0.1509,-0.0062,FLAT,-5.91,5.68,63.95,-45.32,54.4,72.33,0.9461,LOW,-,21.409,24.9576,23.1648,1,4.2752,LAGGARD,18.0448
61,1,BEZ.AX,Besra Gold Inc,Gold,small,0.11,78.29,0.0354,-0.0317,0.5155,FLAT,61.76,124.49,4.76,-58.33,42.0,227.17,0.5543,LOW,-,0.109,0.1042,0.0657,1,23.0161,LEADER,17.7777
62,1,MOH.AX,Moho Resources Limited,Gold,small,0.009,88.82,-0.0123,0.3025,0.0053,FLAT,0.0,200.0,80.0,-57.14,17.6,171.91,0.0,LOW,-,0.0082,0.0077,0.0073,1,20.4758,LEADER,17.348
63,1,TCG.AX,Turaco Gold Limited,Gold,mid,0.625,46.71,-0.0202,-0.0267,-0.1227,STRONG_UP,20.19,40.45,278.79,-37.36,46.4,74.01,0.528,LOW,-,0.6203,0.668,0.5885,1,25.3595,LAGGARD,16.9559
64,0,OBM.AX,Ora Banda Mining Ltd,Gold,mid,1.49,38.16,0.2091,0.0168,0.025,FLAT,12.03,24.69,,-50.0,51.2,104.77,0.8768,LOW,-,1.2243,1.2658,1.1608,1,12.0639,LAGGARD,16.9081
65,0,YRL.AX,Yandal Resources Limited,Gold,small,0.22,61.84,-0.0345,0.1168,-0.0191,FLAT,-42.11,69.23,41.94,-54.76,37.2,91.15,0.9734,LOW,-,0.2115,0.2187,0.2315,0,28.2544,LAGGARD,16.6397
66,0,SNM.AX,Sentinel Metals Limited,Gold,small,0.62,70.39,0.0042,0.0168,0.5144,STRONG_DOWN,,100.0,100.0,-33.12,49.57,93.99,0.0274,LOW,-,0.5774,0.6163,,0,52.7397,LAGGARD,16.6279
67,0,CY5.AX,Cygnus Metals Limited,Gold,small,0.13,42.11,-0.0493,-0.0596,-0.3082,STRONG_UP,-18.75,35.42,73.33,-52.0,36.8,92.59,1.5121,HIGH,-,0.1303,0.16,0.1376,0,14.0764,WEAK,16.5739
68,0,PVW.AX,PVW Resources Limited,Gold,small,0.013,15.79,-0.1456,-0.266,-0.28,STRONG_UP,-64.86,-7.14,-45.83,-71.43,24.0,127.4,2.9603,HIGH,-,0.0145,0.018,0.0213,0,-1.3456,WEAK,16.5485
69,0,BM1.AX,Ballard Mining Limited,Gold,small,0.66,66.45,-0.0761,-0.0454,-0.1617,FLAT,12.82,78.38,78.38,-43.65,44.04,92.8,0.6016,LOW,-,0.6698,0.7559,,0,37.1959,LAGGARD,16.4269
70,0,HMX.AX,Hammer Metals Limited,Gold,small,0.035,59.21,0.0484,0.0168,-0.0241,STRONG_UP,0.0,66.67,-20.45,-50.0,33.2,89.52,0.1289,LOW,-,0.0323,0.0389,0.0336,1,24.7245,CONTENDER,16.405
71,0,PRX.AX,Prodigy Gold NL,Gold,small,0.056,44.74,0.006,-0.0993,-0.0991,FLAT,-6.67,40.0,5.0,-66.67,25.2,51.2,0.2794,LOW,-,0.0574,0.0617,0.0565,0,19.6875,WEAK,16.2705
72,0,EM3.AX,EMC Gold Corporation,Gold,small,0.21,81.58,-0.0577,0.2895,1.4916,STRONG_DOWN,,141.38,141.38,-46.43,43.33,180.59,0.1485,LOW,-,0.1978,0.1854,,0,33.922,LAGGARD,15.9307
73,0,PGO.AX,Pacgold Limited,Gold,small,0.11,64.47,0.0878,-0.0716,0.0618,FLAT,34.15,74.6,-33.33,-51.67,38.8,123.78,0.3307,LOW,-,0.1002,0.1253,0.0879,1,23.3851,CONTENDER,15.7381
74,0,TGM.AX,Theta Gold Mines Limited,Gold,small,0.215,55.26,0.0628,-0.0109,0.1053,FLAT,13.16,59.26,38.71,-42.59,34.8,61.14,0.7122,LOW,-,0.2097,0.2216,0.1994,1,33.7295,CONTENDER,15.7087
75,0,ORP.AX,Orpheus Uranium Limited,Gold,small,0.059,63.82,0.0414,-0.0663,0.178,FLAT,18.0,73.53,-43.81,-37.84,37.44,76.93,0.3727,LOW,-,0.0576,0.0621,0.0474,1,35.785,CONTENDER,15.4529
76,0,STN.AX,Saturn Metals Limited,Gold,small,0.545,56.58,-0.003,0.2842,0.2407,FLAT,-6.84,60.29,147.73,-45.65,46.8,102.0,0.6568,LOW,-,0.4823,0.5029,0.4982,1,27.6644,CONTENDER,15.3033
